,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
458,2007.09.27.a,2007,Unprovoked,egypt,Swimming,18 or 20,Oceanic whitetip sharks were in the vicinity,"Severe lacerations to lower left leg, ankle and foot",Sep,N,F
459,2007.09.20,2007,Unprovoked,usa,Surfing,23,3' shark,Small lacerations to bottom of right big toe,Sep,N,M
460,2007.09.16.a,2007,Unprovoked,usa,Surfing,Teen,9.5' shark?,"No injury, surfboard bitten",Sep,N,F
461,2007.09.13,2007,Unprovoked,usa,Snorkeling,14,"Nurse shark, 2' to 3' ","Minor injury, shark latched onto his abdomen",Sep,N,M
462,2007.09.03.b,2007,Unprovoked,usa,Jumping,12,"18"" to 24"" shark",Tiny punctures to arm,Sep,N,F
463,2007.09.03.a,2007,Unprovoked,usa,Swimming,58,Possibly a spinner shark,"3"" laceration to left forearm",Sep,N,M
464,2007.08.28.b,2007,Unprovoked,usa,Body boarding,15,"Tiger shark, 10' to 12' ",Laceration to right heel,Aug,N,M
465,2007.08.28.a,2007,Unprovoked,usa,Surfing,24,"White shark, 12'",Lacerations to thigh & torso,Aug,N,M
466,2007.08.26,2007,Unprovoked,usa,Surfing,54,3' shark,Left hand  bitten,Aug,N,M
467,2007.08.25,2007,Unprovoked,usa,Surfing,27,3' shark, 6 lacerations to left hand,Aug,N,M
468,2007.08.19.b,2007,Unprovoked,usa,Surfing,16,4' to 5' shark,Foot bitten,Aug,N,M
469,2007.08.15,2007,Unprovoked,usa,Floating near boat & observing bioluminesce,20,Possibly a 6' bull shark,Puncture wounds to torso,Aug,N,M
470,2007.08.12,2007,Unprovoked,usa,Swimming,15, ,"Minor injury, small lacerations to right foot",Aug,N,F
471,2007.08.07,2007,Unprovoked,usa,Jumped into the water,19,Possibly a 10' bull shark,Lacerations to arm,Aug,N,F
472,2007.07.19.b,2007,Unprovoked,usa,Snorkeling,36, ,Left calf severely bitten,Jul,N,M
473,2007.07.19.a,2007,Unprovoked,australia,Wading,15,"Bronze whaler shark, 1.5 m ",Calf bitten,Jul,N,M
474,2007.07.18.b,2007,Unprovoked,usa,Swimming,14,2' to 3' shark,Right calf bitten,Jul,N,M
475,2007.07.17.b,2007,Invalid,usa,Swimming,43,Shark involvement not confirmed,Foot injured. Shark involvment uncomfirmed,Jul,,F
476,2007.07.17.a,2007,Unprovoked,usa,Wading,30,5' shark,Lacerations to right thigh & left foot,Jul,N,F
477,2007.07.10,2007,Unprovoked,bahamas,Spearfishing,48,"Bull shark, 5' ","Lacerations to thumb, ring and pinky fingers of right hand ",Jul,N,F
478,2007.06.25,2007,Unprovoked,usa,Surfing,20,4' shark,6 to 8 puncture wounds to right hand,Jun,N,M
479,2007.06.17,2007,Invalid,usa,Surfing,9,Shark involvement not confirmed,Superficial injuries to upper leg may have been caused by surfboard fin,Jun,,F
480,2007.05.24,2007,Provoked,usa,Reviving a sedated shark,40,A 10-year-old 94-pound pregnant blacktip reef shark,Left shin bitten by captive shark PROVOKED INCIDENT,May,N,F
481,2007.05.17.R,2007,Provoked,england,Fishing,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",Bitten on the nose by a hooked shark PROVOKED INCIDENT,May,N,M
482,2007.05.16,2007,Unprovoked,australia,Wading,38,2.5 m shark,Left heel & calf bitten,May,N,F
483,2007.05.12,2007,Unprovoked,australia,Surfing,19,10' shark,"No injury, shark's fin caught his leg",May,N,M
484,2007.05.10,2007,Unprovoked,usa,Surfing,21,4' to 5' shark,Knee bitten,May,N,F
485,2007.05.08,2007,Invalid,australia,Swimming,45,Shark involvement prior to death was not confirmed,Shark involvement prior to death unconfirmed,May,,M
486,2007.05.07.b,2007,Unprovoked,usa,Snorkeling,63,"Tiger shark, 14' ",Right foot bitten,May,N,F
487,2007.05.07.a,2007,Unprovoked,usa,Swimming,68,6' to 8' shark,Circular bite on left thigh,May,N,M
488,2007.04.26,2007,Unprovoked,australia,Swimming / jumping off a jetty,13,"""a small shark""",Lower leg & foot injured,Apr,N,F
489,2007.04.22,2007,Unprovoked,usa,Body boarding,12,blacktip or spinner shark,Left foot bitten,Apr,N,M
490,2007.04.20,2007,Unprovoked,usa,Surfing,24,3' to 4' shark,Lacerations to left index finger & thumb ,Apr,N,M
491,2007.04.09,2007,Unprovoked,new caledonia,Surfing,26,Tiger shark,Left foot bitten,Apr,N,M
492,2007.03.31.b,2007,Unprovoked,usa,Surfing,27,3' shark,Lacerations to right ankle ,Mar,N,M
493,2007.03.21,2007,Unprovoked,usa,Surfing,11,4' to 5' shark,Punctures & lacerations to right calf & calf,Mar,N,M
494,2007.03.20,2007,Unprovoked,australia,Surfing,42,1.5 m shark,Lacerations to 3 fingers of left hand ,Mar,N,F
495,2007.03.12,2007,Unprovoked,australia,Swimming,59,2 to 2.5 m shark,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",Mar,N,F
496,2007.01.25.b,2007,Unprovoked,new caledonia,Spearfishing (free diving),30,Tiger shark,Leg bitten,Jan,N,M
497,2007.01.23,2007,Unprovoked,australia,Diving,41,"White shark, 3m",Head & torso bitten,Jan,N,M
498,2007.01.14,2007,Unprovoked,south africa,Swimming / Body Surfing,24,Tiger shark,"Presumed FATAL, body not recovered",Jan,Y,M
499,2007.01.07,2007,Invalid,usa,Surfing,54,"24"" to 30"" shark",No injury,Jan,,M
500,2007.01.05,2007,Unprovoked,usa,Surfing,24,"6' to 8' shark, possibly a tiger shark","No injury, shark removed piece of surfboard",Jan,N,M
501,2006.12.18,2006,Unprovoked,australia,Surfing,25,2.5 to 3 m shark,Left leg bitten,Dec,N,M
502,2006.12.11,2006,Unprovoked,new zealand,Surfing,10,2 to 3 m shark,Foot bitten,Dec,N,M
503,2006.12.10,2006,Unprovoked,usa,Surfing,43,"White shark, 12' to 15' ","Minor injuries, surfboard bitten",Dec,N,M
504,2006.12.06,2006,Provoked,south africa,Fishing,25,"Raggedtooth shark, 150-kg","Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",Dec,N,M
505,2006.12.02,2006,Unprovoked,australia,Body boarding,15,"White shark, 5m ","Right leg severed, left leg lacerated",Dec,N,M
506,2006.11.11,2006,Unprovoked,usa,Swimming,29,2 m to 3 m shark,Laceration to left thigh & left hand,Nov,N,M
507,2006.10.31,2006,Unprovoked,usa,Surfing,22,"White shark, 16' ","No injury, surfboard bitten",Oct,N,M
508,2006.10.05,2006,Unprovoked,usa,Playing soccer in the water,18,3' to 3.5' shark,Lacerations to foot,Oct,N,M
509,2006.09.14,2006,Unprovoked,usa,Swimming,55,Spinner shark,Minor injury to left hand,Sep,N,M
510,2006.09.04,2006,Invalid,australia,Diving,44,No shark involvement,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",Sep,,M
511,2006.09.03.a,2006,Unprovoked,usa,Standing,33,3' shark,Puncture wounds and cuts to right thigh,Sep,N,M
512,2006.08.13,2006,Unprovoked,south africa,Lifesaving drill,24,White shark,Foot severed,Aug,N,M
513,2006.07.31.a,2006,Unprovoked,usa,Surfing,41,White shark?,Minor injury,Jul,N,M
514,2006.07.28,2006,Unprovoked,south africa,Surf-skiing,19,"White shark, 3m to 4m","No injury, surf ski bitten",Jul,N,M
515,2006.07.25,2006,Unprovoked,usa,Surfing,14, ,Minor lacerations to right foot,Jul,N,M
516,2006.07.17,2006,Unprovoked,usa,Standing,49,"Angel shark, 1.2m ",Left ankle & foot bitten,Jul,N,M
517,2006.07.08.b,2006,Unprovoked,usa,Body boarding,14,5' to 6' spinner or bull shark,Foot bitten,Jul,N,F
518,2006.06.20,2006,Unprovoked,usa,Surfing,22,Possibly a 1' to 3' blacktip or spinner shark,2-inch puncture wounds on right foot,Jun,N,F
519,2006.06.15,2006,Unprovoked,usa,Surfing,24,2' to 3' shark,Four 1-inch puncture wounds on left foot ,Jun,N,M
520,2006.06.07,2006,Unprovoked,usa,Playing,7,3' to 4' shark,Lacerations & puncture wounds to left foot & buttocks,Jun,N,F
521,2006.06.05,2006,Unprovoked,australia,Surfing,40,14' white shark,"No injury, knocked off surfboard",Jun,N,M
522,2006.05.31,2006,Unprovoked,usa,Spearfishing,26,"Tiger shark, 8' to 12'","4"" laceration to left forearm",May,N,M
523,2006.05.24,2006,Provoked,usa,Spearfishing,15,"Grey reef shark, 5' to 8' ",Knee bitten after diver poked shark PROVOKED INCIDENT,May,N,M
524,2006.05.19,2006,Unprovoked,usa,Scuba diving,30s,"Tiger shark, 10' to 12'",Laceration to leg,May,N,F
525,2006.05.02,2006,Provoked,australia,Snorkeling,46,"Wobbegong shark, 2 m ",Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,May,N,M
526,2006.04.13,2006,Provoked,usa,Fishing,35,"Bull shark, 4' to bull shark",3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,Apr,N,M
527,2006.04.11,2006,Unprovoked,australia,Surfing,15,"Bronze whaler shark, a  juvenile ",Minor laceration to left foot,Apr,N,M
528,2006.04.09.b,2006,Unprovoked,south africa,Body boarding,15,"Raggedtooth shark, 2.5 m to 3 m ",Leg bitten,Apr,N,M
529,2006.04.09.a,2006,Unprovoked,brazil,Swimming,35,Tiger shark,Left leg bitten,Apr,N,M
530,2006.03.23,2006,Unprovoked,usa,Surfing,28,"Tiger shark, 10'  ",5 puncture wounds in left calf,Mar,N,F
531,2006.03.19,2006,Unprovoked,fiji,Surfing,21,"Tiger shark, 5' ",Lacerations to right hand,Mar,N,M
532,2006.03.15,2006,Unprovoked,australia,Surfing,15,"Bronze whaler shark, 2 m","No injury, shark nudged surfboard",Mar,N,M
533,2006.02.27,2006,Unprovoked,usa,Standing,15,5' to 7' shark,Deep laceration to right calf,Feb,N,F
534,2006.02.23,2006,Invalid,usa,Free diving,45,Invalid,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,Feb,,M
535,2006.02.08,2006,Unprovoked,south africa,Surfing,15,Raggedtooth shark,2 bite marks on right calf,Feb,N,M
536,2006.02.01.b,2006,Unprovoked,tonga,Swimming,24,Tiger shark,Severe bite to right leg FATAL,Feb,Y,F
537,2006.02.01.a,2006,Boating,usa,Kayaking,57,12' to 18' shark,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,Feb,N,M
538,2006.01.15,2006,Unprovoked,australia,Scuba diving,52,3.5 m white shark,Lacerations to left elbow,Jan,N,M
539,2006.01.07,2006,Unprovoked,australia,Swimming,21,Bull shark,FATAL,Jan,Y,F
540,2006.01.04,2006,Unprovoked,usa,Surfing,21,4' shark,3 puncture wounds in right wrist & hand,Jan,N,M
541,2005.12.24,2005,Unprovoked,usa,Surfing,30,White shark,Lacerations to ankle & calf,Dec,N,M
542,2005.12.21,2005,Unprovoked,usa,Swimming,29,Tiger shark,Left hand bitten,Dec,N,M
543,2005.12.11,2005,Unprovoked,australia,Spearfishing,44,Whitetip reef shark,Right forearm & elbow bitten,Dec,N,M
544,2005.11.27,2005,Unprovoked,usa,Surfing,23,4' shark,Right thumb & palm lacerated,Nov,N,M
545,2005.11.25.b,2005,Unprovoked,australia,Surfing,18,1.8 m shark,"2 lacerations on leg, each 4"" to 5"" long",Nov,N,M
546,2005.11.21,2005,Unprovoked,usa,Surfing,30s,4' shark,Left foot bitten,Nov,N,M
547,2005.11.15,2005,Provoked,south africa,Fishing for sharks,32,"Raggedtooth shark, 2.5m ",Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,Nov,N,M
548,2005.11.12,2005,Unprovoked,usa,Surfing,18,6' shark,Puncture wounds to right foot,Nov,N,M
549,2005.11.02.a,2005,Unprovoked,usa,Surfing,26,12' to 14' white shark,"No injury, board bumped",Nov,N,M
550,2005.10.25,2005,Unprovoked,st. maartin,Standing,55,2' shark,Lower right leg lacerated,Oct,N,M
551,2005.10.22,2005,Unprovoked,south africa,Standing / Surfing,20,3 m shark,Right foot bitten,Oct,N,M
552,2005.10.21,2005,Unprovoked,usa,Surfing,36,White shark,No injury,Oct,N,M
553,2005.10.19,2005,Unprovoked,usa,Surfing,20,18' white shark,Leg bitten,Oct,N,F
554,2005.10.13,2005,Unprovoked,usa,Surfing,22,"Tiger shark, less than 10'","No injury, surfboard bitten",Oct,N,M
555,2005.10.11,2005,Unprovoked,grand cayman,Scuba diving,57,Caribbean reef sharks,No injury ,Oct,N,F
556,2005.10.01,2005,Unprovoked,south africa,Surf-skiing,52,White shark,"No injury, shark bit ski",Oct,N,M
557,2005.09.24,2005,Unprovoked,australia,Surfing,26,14' to 16' white shark,Lacerations to legs,Sep,N,M
558,2005.09.23,2005,Unprovoked,australia,Surfing,44,Bronze whaler shark, No injury,Sep,N,M
559,2005.09.20,2005,Unprovoked,usa,Body surfing,68,3' to 4' shark,"Injuries to fingers, calf  & heel",Sep,N,F
560,2005.09.05,2005,Unprovoked,usa,Wading,18,Bull shark,Calf severely lacerated,Sep,N,F
561,2005.09.04.a,2005,Unprovoked,australia,Surfing,40,4 m [13'] white shark,Lacerations to right arm & thigh,Sep,N,M
562,2005.08.24.b,2005,Unprovoked,australia,Scuba diving,23,White shark,FATAL,Aug,Y,M
563,2005.08.24.a,2005,Unprovoked,usa,Surfing,37,juvenile white shark,Lower right leg lacerated,Aug,N,M
564,2005.08.22,2005,Invalid,usa,"Boogie boarding, kicked at object in the water",17,Shark involvement not confirmed,"Laceration to knee, possibly by a  small blacktip shark",Aug,,M
565,2005.08.21,2005,Unprovoked,usa,Swimming,8,Possibly a sandbar shark or small blacktip shark,Bitten underneath left arm,Aug,N,M
566,2005.08.12,2005,Unprovoked,usa,Surfing,16,1.8 m [6'] shark,Laceration on right wrist & crescent of puncture wounds on  forearm ,Aug,N,M
567,2005.07.22,2005,Invalid,usa,Surfing,25,Shark involvement not confirmed,"Straight 2.5"" laceration on top of left ankle",Jul,,M
568,2005.07.15,2005,Unprovoked,usa,Swimming,22,[4.5' to 5'] shark,Lacerations of left forearm,Jul,N,M
569,2005.07.13,2005,Unprovoked,usa,Holding onto an inflatable boat,14,[4' to 5'],Left foot bitten,Jul,N,F
570,2005.06.27,2005,Unprovoked,usa,Fishing,16,Bull shark,"Leg severely bitten, surgically amputated",Jun,N,M
571,2005.06.25,2005,Unprovoked,usa,Swimming with boogie board,14,1.8 m [6'] bull shark,"FATAL, leg bitten",Jun,Y,F
572,2005.06.22,2005,Unprovoked,vanuatu,Swimming,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",FATAL,Jun,Y,F
573,2005.06.18,2005,Invalid,usa,Swimming,49,Invalid,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",Jun,,M
574,2005.06.16,2005,Unprovoked,usa,Swimming,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",Foot bitten,Jun,N,M
575,2005.06.05,2005,Invalid,usa,Surfing,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,Jun,,M
576,2005.06.04,2005,Unprovoked,south africa,Spearfishing (Free diving),22,White shark,FATAL,Jun,Y,M
577,2005.05.28,2005,Unprovoked,usa,Swimming,33,"""small shark""",Left foot bitten,May,N,M
578,2005.05.25,2005,Unprovoked,south africa,Surfing,32,Raggedtooth shark,Left buttock  & legs lacerated ,May,N,M
579,2005.05.02,2005,Unprovoked,usa,Surfing,47,"Tiger shark, 3 m [10']","No injury, board damaged",May,N,M
580,2005.04.25,2005,Provoked,australia,Fishing,25,"Mako shark, 1.5 m [5'] ",Laceration on left thigh PROVOKED INCIDENT,Apr,N,M
581,2005.04.16.a,2005,Unprovoked,australia,Surfing,40,Bronze whaler shark,"No injury, board bitten",Apr,N,M
582,2005.03.28,2005,Unprovoked,south africa,Surfing,32,4 m [13'] shark,"Lacerations to right calf, puncture wounds on right foot",Mar,N,M
583,2005.03.19,2005,Unprovoked,australia,Snorkeling,26,6 m [20'] white shark,FATAL,Mar,Y,M
584,2005.03.12,2005,Provoked,usa,Diving in aquarium display tank,45,"Sandtiger shark, 2.1 m [7'] ",2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,Mar,N,M
585,2005.01.08,2005,Boating,new zealand,Fishing from a kayak,39,White shark,"No injury, kayak bumped repeatedly",Jan,N,M
586,2004.12.16,2004,Unprovoked,australia,Scurfing (surfboard being  towed behind a boat),18,4.5 m & 5 m white shark ,FATAL,Dec,Y,M
587,2004.12.11,2004,Unprovoked,australia,Spearfishing,38,Bull shark,"FATAL, leg bitten",Dec,Y,M
588,2004.11.27,2004,Unprovoked,south africa,Surfing,20,Raggedtooth shark,3 lacerations on foot,Nov,N,M
589,2004.11.15,2004,Unprovoked,south africa,Swimming,77,6 m [20'] white shark,FATAL,Nov,Y,F
590,2004.11.11.b,2004,Unprovoked,usa,Surfing,38,5.5 m [18'] white shark,"Lacerations to hand, knee & thigh ",Nov,N,F
591,2004.10.31,2004,Unprovoked,cuba,Diving,40,2.5 m [8.25'] bull shark,Left forearm bitten,Oct,N,M
592,2004.10.30.a,2004,Unprovoked,south africa,Chumming for white sharks,52,2 m [6.75'] white shark,Right ankle & foot lacerated,Oct,N,M
593,2004.10.21,2004,Unprovoked,australia,Surfing,59,"Bronze whaler shark, 2.4 m [8'] ",Right foot lacerated,Oct,N,M
594,2004.10.09.b,2004,Unprovoked,usa,Spearfishing,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",Left shoulder bitten,Oct,N,M
595,2004.10.09.a,2004,Unprovoked,south africa,Surfing,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",Puncture wounds on right foot,Oct,N,M
596,2004.10.06,2004,Unprovoked,reunion,Body boarding,15,Thought to involve a 2.5 m bull or tiger shark,"Leg severely bitten, surgically amputated",Oct,N,M
597,2004.09.20,2004,Unprovoked,usa,Surfing,26,White shark,Leg bitten,Sep,N,M
598,2004.09.04,2004,Unprovoked,usa,Jumping,17,2.4 m [8'] shark,Left knee & leg bitten,Sep,N,F
599,2004.08.21,2004,Unprovoked,brazil,Bathing,24,"Tiger shark, 1.5 m ",Calf bitten & both hands injured,Aug,N,M
600,2004.08.15,2004,Unprovoked,usa,Diving,50,4.9 m to 5.5 m [16' to 18'] white shark,FATAL,Aug,Y,M
601,2004.08.06,2004,Unprovoked,usa,Swimming,47,1.2 m [4'] shark,"Back, buttocks, left hand & left side of face bitten",Aug,N,M
602,2004.07.27.b,2004,Unprovoked,usa,Swimming,13,1.8 m [6'] shark,Right forearm & wrist lacerated,Jul,N,F
603,2004.07.27.a,2004,Unprovoked,usa,Swimming,19,1.2 m to 1.5 m [4' to 5'] shark,Right foot bitten,Jul,N,F
604,2004.07.25,2004,Unprovoked,usa,Wading / fishing & carrying a bag of fish,11,Bull shark,Right forearm nearly severed and bites above & below the right knee,Jul,N,M
605,2004.07.10,2004,Unprovoked,australia,Surfing,30,"2 sharks, 4.5 m & 3 m ","FATAL, abdomen, pelvis & leg bitten      ",Jul,Y,M
606,2004.07.02.a,2004,Unprovoked,usa,Wading,7,4' to 5' shark,Right foot lacerated,Jul,N,M
607,2004.06.26.b,2004,Unprovoked,usa,Surfing,45,"9'2"" white shark","No injury, shark struck his board",Jun,N,M
608,2004.06.10.b,2004,Unprovoked,australia,Body boarding,17,"Bronze whaler shark, 2.5 m [8.25'] ",Ankle & foot lacerated,Jun,N,M
609,2004.06.10.a,2004,Unprovoked,usa,Swimming,8,1.2 m [4'] shark,Right wrist  & left arm lacerated,Jun,N,M
610,2004.06.02,2004,Unprovoked,south africa,"Swimming, poaching perlemoen",21,White shark,"FATAL, leg severed ",Jun,Y,M
611,2004.05.29,2004,Unprovoked,usa,Wading,16,0.9 m to 1.5 m [3' to 5'] shark,Puncture wounds on shin,May,N,M
612,2004.05.23.b,2004,Unprovoked,brazil,Swimming,17,Bull shark,"Left hand, foot severed &  left calf & arm bitten",May,N,M
613,2004.05.28,2004,Unprovoked,usa,Surfing,44,2.4 m to 3.7 m [8' to 12'] shark,No injury,May,N,M
614,2004.05.18,2004,Provoked,bahamas,Free diving & spearfishing,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",Left forearm bitten PROVOKED INCIDENT,May,N,M
615,2004.05.04,2004,Unprovoked,usa,Tandem surfing,28,"Mako shark, 1.8 m [6']","No injury, board bitten",May,N,M
616,2004.04.07,2004,Unprovoked,usa,Surfing,57,Tiger shark,FATAL Severe wound to right thigh & calf,Apr,Y,M
617,2004.04.05,2004,Unprovoked,south africa,Surfing,16,5 m [16.5'] white shark,"Left leg lacerated, right leg severed above the knee ",Apr,N,M
618,2004.03.31.a,2004,Unprovoked,usa,Surfing,20,1.2 m [4'] bull shark,15 puncture wounds on foot,Mar,N,M
619,2004.03.29,2004,Unprovoked,brazil,Body boarding,22,bull shark,"Lower left leg bitten, surgically amputated",Mar,N,M
620,2004.03.27.b,2004,Unprovoked,reunion,Surfing,20,2.5 m shark,Right thigh bitten,Mar,N,M
621,2004.03.16,2004,Unprovoked,usa,Surfing,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ","No injury, board bitten",Mar,N,M
622,2004.02.26,2004,Unprovoked,new zealand,Surfing,15,2 m [6.75'] sevengill  shark,Thigh lacerated,Feb,N,M
623,2004.02.16,2004,Invalid,australia,Free diving & spearfishing,31,Shark involvement not confirmed,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",Feb,,M
624,2004.01.25,2004,Unprovoked,australia,Scuba diving,46,4 m to 5 m [13' to 16.5'] white shark,Left leg bitten,Jan,N,M
625,2004.01.21.a,2004,Unprovoked,venezuela,Spearfishing,40,"Bull shark, 132-kg [291-lb] ",Right leg bitten,Jan,N,M
626,2003.11.27,2003,Unprovoked,south africa,Spearfishing,21,"Tiger shark, 4 m [13']  ?","Presumed FATAL, severed hand recovered",Nov,Y,M
627,2003.11.22,2003,Unprovoked,usa,Surfing,35,4' shark,Severe abrasion to left lateral calf,Nov,N,F
628,2003.10.31.c,2003,Unprovoked,usa,Surfing,18,1.2 m to 1.5 m [4' to 5'] shark,Left foot (sole) bitten,Oct,N,M
629,2003.10.31.b,2003,Unprovoked,australia,Surfing,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",Left ankle & foot lacerated,Oct,N,M
630,2003.10.31.a,2003,Unprovoked,usa,Surfing,13,"Tiger shark, 14' ",Left arm severed below shoulder,Oct,N,F
631,2003.10.24,2003,Invalid,usa,Snorkeling,56,Shark involvement not confirmed,Left forearm lacerated,Oct,,M
632,2003.10.14,2003,Unprovoked,usa,Surfing,19,1.2 m [4'] shark,Foot bitten,Oct,N,M
633,2003.10.05.a,2003,Unprovoked,usa,Wading near a fishing net,41,"1.2 m [4'] ""grey-colored shark""","Left thigh abraded, right knee and right index finger injured",Oct,N,F
634,2003.09.14.c,2003,Unprovoked,usa,Surfing,30,3' shark,Left foot: lacerations on heel and sole,Sep,N,M
635,2003.09.14.a,2003,Invalid,usa,Swimming,8 or 10,Shark involvement doubtful,Puncture wounds on inner thigh,Sep,,F
636,2003.09.13.b,2003,Unprovoked,usa,Body boarding,18,6' shark,Left calf avulsion,Sep,N,M
637,2003.09.13.a,2003,Unprovoked,usa,"Standing, stepped on shark",15,7' shark,Ankle lacerated,Sep,N,M
638,2003.09.12,2003,Unprovoked,south africa,Body boarding,19,White shark,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Sep,Y,M
639,2003.08.19,2003,Unprovoked,usa,"Swimming, wearing black wetsuit & swim fins",50,4.5 m to 5.5 m [15' to 18'] white shark,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Aug,Y,F
640,2003.08.12,2003,Invalid,usa,Swimming,31,Shark involvement not confirmed,Left ankle lacerated,Aug,,M
641,2003.08.08,2003,Unprovoked,south africa,Sitting on surfboard,16,3.5 m [11.5'] white shark,"No injury, wetsuit torn & board bitten",Aug,N,M
642,2003.07.09,2003,Unprovoked,bahamas,Spearfishing,58,Unidentified species,Right thigh bitten,Jul,N,M
643,2003.07.05.b,2003,Provoked,usa,"Walking, carrying surfboard & stepped on shark",10,2' shark,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,Jul,N,M
644,2003.07.04,2003,Unprovoked,bahamas,Spearfishing,39,2.1 m  [7'] bull shark,Left calf bitten,Jul,N,M
645,2003.06.30,2003,Unprovoked,usa,Surfing,17,Unidentified species,Right foot & toes lacerated,Jun,N,M
646,2003.06.26,2003,Unprovoked,usa,Surfing,15,106 cm [3.5']  shark,Ankle lacerated,Jun,N,M
647,2003.06.24.b,2003,Unprovoked,usa,Standing,12,small brown shark,2 lacerations to the thigh,Jun,N,F
648,2003.06.24.a,2003,Unprovoked,usa,Swimming with pod of dolphins,60,3.7 m to 4.3 m [12' to 14'] shark,Right foot bitten,Jun,N,M
649,2003.06.19,2003,Unprovoked,usa,Surfing ,33,"""sand shark""",Hand bitten ,Jun,N,M
650,2003.05.14,2003,Unprovoked,usa,Wading,22,3' to 5' shark,Left foot bitten,May,N,M
651,2003.05.10,2003,Unprovoked,usa,Swimming,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,Right calf & heel bitten,May,N,M
652,2003.05.07,2003,Provoked,usa,Surfing,34,4' to 5' shark,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,May,N,M
653,2003.04.23.b,2003,Unprovoked,brazil,Surfing,17,Bull shark,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",Apr,N,M
654,2003.04.21.b,2003,Unprovoked,usa,Surfing,36,Unidentified species,Right leg bitten,Apr,N,M
655,2003.04.21.a,2003,Unprovoked,usa,Surfing,17,Unidentified species,Survived,Apr,N,M
656,2003.04.20.c,2003,Unprovoked,usa,Surfing,30,Unidentified species,Left foot bitten,Apr,N,M
657,2003.04.20.b,2003,Unprovoked,usa,Surfing,23,0.9 m to 1.2 m [3' to 4'] shark,Small lacerations to foot,Apr,N,M
658,2003.04.20.a,2003,Unprovoked,usa,Surfing,18,Unidentified species,Left ankle bitten or right foot,Apr,N,M
659,2003.04.19,2003,Unprovoked,usa,Jumping,11,A small shark,Left foot bitten,Apr,N,M
660,2003.04.18,2003,Unprovoked,usa,Surfing,12,Unidentified species,2 lacerations on left thigh,Apr,N,M
661,2003.04.15,2003,Unprovoked,usa,Swimming (using a float),20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",Left calf lacerated,Apr,N,M
662,2003.04.11,2003,Unprovoked,venezuela,Surfing,28,"Mako shark, 3 m [10']","Right foot bitten, left leg severed",Apr,N,M
663,2003.04.04,2003,Unprovoked,usa,Surfing,50,4' to 5' shark,Left hand and wrist bitten,Apr,N,M
664,2003.02.27,2003,Unprovoked,new zealand,Scuba diving,44,2.5 m [8.25'] white shark,Arm lacerated (shark made 3 strikes),Feb,N,M
665,2003.02.15.b,2003,Unprovoked,australia,Wading,37,"""a small shark""",Ankle lacerated,Feb,N,M
666,2003.02.15.a,2003,Unprovoked,usa,Swimming,54,Species unidentified,Left hand bitten,Feb,N,M
667,2003.02.11,2003,Unprovoked,australia,Swimming,24,Thought to involve a 2 m [6.75'] grey nurse shark,"Puncture wounds on heel, legs and buttocks",Feb,N,M
668,2003.02.08,2003,Unprovoked,australia,Swimming,84,Thought to involve a >2 m [6.75'] bull shark,FATAL,Feb,Y,M
669,2003.01.17,2003,Invalid,south africa,Unknown,14,Shark involvement prior to death was not confirmed,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Jan,,M
670,2002.12.24,2002,Unprovoked,south africa,Snorkeling,25,"White shark, 4 m white shark",Forearms lacerated,Dec,N,M
