,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
0,2018.06.25,2018,Boating,usa,Paddling,"No injury to occupant, outrigger canoe and paddle damaged",Jun,N,F,White,57.0
1,2018.06.03.a,2018,Unprovoked,brazil,Swimming,FATAL,Jun,Y,M,Tiger,18.0
2,2018.05.26.b,2018,Unprovoked,usa,Walking,Lower left leg bitten,May,N,M,Bull,15.0
3,2018.05.24,2018,Provoked,australia,Feeding sharks,Minor bite to hand by captive shark. PROVOKED INCIDENT,May,N,M,Grey,32.0
4,2018.05.13.a,2018,Invalid,england,Fishing,Injured by teeth of a dead porbeagle shark he was tossing overboard.,May,N,M,Unspecified,21.0
5,2018.04.28.b,2018,Unprovoked,costa rica,Scuba diving,"No injury, shark bit scuba gear",Apr,N,M,Tiger,30.0
6,2018.04.25.a,2018,Unprovoked,australia,Surfing,"No injury, knocked off board by shark",Apr,N,M,Unspecified,60.0
7,2018.04.23,2018,Unprovoked,maldives,Fishing,5-inch cut to hand,Apr,N,M,Tiger,32.0
8,2018.04.22,2018,Unprovoked,south africa,Paddle-skiing,"No injury, shark bit hole in ski",Apr,N,M,White,33.0
9,2018.04.03,2018,Unprovoked,south africa,Surfing,Lacerations to left knee & lower leg,Apr,N,M,White,19.0
10,2018.03.31,2018,Unprovoked,usa,Stand-Up Paddleboarding,Injuries to right leg & hand,Mar,N,M,Tiger,25.0
11,2018.03.14,2018,Unprovoked,australia,Wading,Minor injuries to legs,Mar,N,M,Unspecified,10.0
12,2018.03.09.b,2018,Unprovoked,australia,Swimming,"No injury, said to have been charged by sharks several times",Mar,N,M,Unspecified,25.0
13,2018.03.09.a,2018,Unprovoked,australia,Surfing,"Minor injury, ankle grazed",Mar,N,M,Unspecified,18.0
14,2018.02.23,2018,Unprovoked,australia,Swimming,Laceratons to right leg & foot,Feb,N,F,White,55.0
15,2018.02.15,2018,Unprovoked,australia,Walking,Puncture wounds to leff foot & lower leg,Feb,N,M,Bull,35.0
16,2018.01.12,2018,Unprovoked,brazil,Surfing,Minor injury to left forearm,Jan,N,M,Unspecified,20.0
17,2017.12.31,2017,Unprovoked,usa,Surfing,Severe lacerations to left thigh & knee,Dec,N,F,Tiger,54.0
