,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
373,2009.10.02,2009,Provoked,united kingdom,Fishing,Injury to forearm from shark's spine PROVOKED INCIDENT ,Oct,N,M,Unspecified,39
374,2009.09.12,2009,Invalid,usa,Swimming,FATAL,Sep,Y,M,Unspecified,60
375,2009.08.29,2009,Unprovoked,south africa,Surfing,FATAL,Aug,Y,M,White,25
376,2009.08.25,2009,Unprovoked,usa,Swimming,Puncture wounds to left foot & calf,Aug,N,F,White,22
377,2009.08.01,2009,Unprovoked,usa,Wade Fishing,Right ankle & foot bitten,Aug,N,M,Bull,56
378,2009.07.04,2009,Provoked,usa,Swimming,Thigh injured by hooked shark PROVOKED INCIDENT,Jul,N,F,Unspecified,43
379,2009.06.27,2009,Unprovoked,australia,Surfing,2-inch laceration to upper left arm,Jun,N,M,Unspecified,52
380,2009.06.16,2009,Invalid,usa,Crawling,2-inch laceration to upper left arm,Jun,,M,Unspecified,14
381,2009.06.01,2009,Unprovoked,egypt,Snorkeling,FATAL,Jun,Y,F,White,50
382,2009.05.31,2009,Provoked,taiwan,Fishing,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,May,N,M,Unspecified,46
383,2009.05.17,2009,Unprovoked,usa,Surfing,Lacerations to left leg & foot,May,N,M,Unspecified,31
384,2009.05.16.b,2009,Unprovoked,usa,Surfing,Lacerations to right foot,May,N,M,Unspecified,49
385,2009.05.16.a,2009,Unprovoked,usa,Surfing,Lacerations to right hand,May,N,M,Unspecified,55
386,2009.05.12,2009,Provoked,guam,Spearfishing,Speared shark bit his forearm PROVOKED INCIDENT,May,N,M,Unspecified,27
387,2009.04.17.,2009,Unprovoked,usa,Surfing,Laceration to forearm,Apr,N,M,Unspecified,31
388,2009.04.12,2009,Unprovoked,australia,Surf skiing ,"No injury, catapulted into the water & ski damage",Apr,N,M,Unspecified,40
389,2009.04.06.b,2009,Invalid,south africa,Swimming,Body not recovered,Apr,,M,Unspecified,24
