,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
548,2005.11.12,2005,Unprovoked,usa,Surfing,Puncture wounds to right foot,Nov,N,M,Unspecified,18
549,2005.11.02.a,2005,Unprovoked,usa,Surfing,"No injury, board bumped",Nov,N,M,White,26
550,2005.10.25,2005,Unprovoked,st. maartin,Standing,Lower right leg lacerated,Oct,N,M,Unspecified,55
551,2005.10.22,2005,Unprovoked,south africa,Standing / Surfing,Right foot bitten,Oct,N,M,Unspecified,20
552,2005.10.21,2005,Unprovoked,usa,Surfing,No injury,Oct,N,M,White,36
553,2005.10.19,2005,Unprovoked,usa,Surfing,Leg bitten,Oct,N,F,White,20
554,2005.10.13,2005,Unprovoked,usa,Surfing,"No injury, surfboard bitten",Oct,N,M,Tiger,22
555,2005.10.11,2005,Unprovoked,grand cayman,Scuba diving,No injury ,Oct,N,F,Unspecified,57
556,2005.10.01,2005,Unprovoked,south africa,Surf-skiing,"No injury, shark bit ski",Oct,N,M,White,52
557,2005.09.24,2005,Unprovoked,australia,Surfing,Lacerations to legs,Sep,N,M,White,26
558,2005.09.23,2005,Unprovoked,australia,Surfing, No injury,Sep,N,M,Unspecified,44
559,2005.09.20,2005,Unprovoked,usa,Body surfing,"Injuries to fingers, calf  & heel",Sep,N,F,Unspecified,68
560,2005.09.05,2005,Unprovoked,usa,Wading,Calf severely lacerated,Sep,N,F,Bull,18
561,2005.09.04.a,2005,Unprovoked,australia,Surfing,Lacerations to right arm & thigh,Sep,N,M,White,40
562,2005.08.24.b,2005,Unprovoked,australia,Scuba diving,FATAL,Aug,Y,M,White,23
563,2005.08.24.a,2005,Unprovoked,usa,Surfing,Lower right leg lacerated,Aug,N,M,White,37
564,2005.08.22,2005,Invalid,usa,"Boogie boarding, kicked at object in the water","Laceration to knee, possibly by a  small blacktip shark",Aug,,M,Unspecified,17
565,2005.08.21,2005,Unprovoked,usa,Swimming,Bitten underneath left arm,Aug,N,M,Unspecified,8
566,2005.08.12,2005,Unprovoked,usa,Surfing,Laceration on right wrist & crescent of puncture wounds on  forearm ,Aug,N,M,Unspecified,16
567,2005.07.22,2005,Invalid,usa,Surfing,"Straight 2.5"" laceration on top of left ankle",Jul,,M,Unspecified,25
568,2005.07.15,2005,Unprovoked,usa,Swimming,Lacerations of left forearm,Jul,N,M,Unspecified,22
569,2005.07.13,2005,Unprovoked,usa,Holding onto an inflatable boat,Left foot bitten,Jul,N,F,Unspecified,14
570,2005.06.27,2005,Unprovoked,usa,Fishing,"Leg severely bitten, surgically amputated",Jun,N,M,Bull,16
571,2005.06.25,2005,Unprovoked,usa,Swimming with boogie board,"FATAL, leg bitten",Jun,Y,F,Bull,14
572,2005.06.22,2005,Unprovoked,vanuatu,Swimming,FATAL,Jun,Y,F,Unspecified,7
573,2005.06.18,2005,Invalid,usa,Swimming,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",Jun,,M,Unspecified,49
574,2005.06.16,2005,Unprovoked,usa,Swimming,Foot bitten,Jun,N,M,Unspecified,20
575,2005.06.05,2005,Invalid,usa,Surfing,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,Jun,,M,White,17
576,2005.06.04,2005,Unprovoked,south africa,Spearfishing (Free diving),FATAL,Jun,Y,M,White,22
577,2005.05.28,2005,Unprovoked,usa,Swimming,Left foot bitten,May,N,M,Unspecified,33
578,2005.05.25,2005,Unprovoked,south africa,Surfing,Left buttock  & legs lacerated ,May,N,M,Unspecified,32
579,2005.05.02,2005,Unprovoked,usa,Surfing,"No injury, board damaged",May,N,M,Tiger,47
580,2005.04.25,2005,Provoked,australia,Fishing,Laceration on left thigh PROVOKED INCIDENT,Apr,N,M,Unspecified,25
581,2005.04.16.a,2005,Unprovoked,australia,Surfing,"No injury, board bitten",Apr,N,M,Unspecified,40
582,2005.03.28,2005,Unprovoked,south africa,Surfing,"Lacerations to right calf, puncture wounds on right foot",Mar,N,M,Unspecified,32
583,2005.03.19,2005,Unprovoked,australia,Snorkeling,FATAL,Mar,Y,M,White,26
584,2005.03.12,2005,Provoked,usa,Diving in aquarium display tank,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,Mar,N,M,Tiger,45
585,2005.01.08,2005,Boating,new zealand,Fishing from a kayak,"No injury, kayak bumped repeatedly",Jan,N,M,White,39
586,2004.12.16,2004,Unprovoked,australia,Scurfing (surfboard being  towed behind a boat),FATAL,Dec,Y,M,White,18
587,2004.12.11,2004,Unprovoked,australia,Spearfishing,"FATAL, leg bitten",Dec,Y,M,Bull,38
588,2004.11.27,2004,Unprovoked,south africa,Surfing,3 lacerations on foot,Nov,N,M,Unspecified,20
589,2004.11.15,2004,Unprovoked,south africa,Swimming,FATAL,Nov,Y,F,White,77
590,2004.11.11.b,2004,Unprovoked,usa,Surfing,"Lacerations to hand, knee & thigh ",Nov,N,F,White,38
591,2004.10.31,2004,Unprovoked,cuba,Diving,Left forearm bitten,Oct,N,M,Bull,40
592,2004.10.30.a,2004,Unprovoked,south africa,Chumming for white sharks,Right ankle & foot lacerated,Oct,N,M,White,52
593,2004.10.21,2004,Unprovoked,australia,Surfing,Right foot lacerated,Oct,N,M,Unspecified,59
594,2004.10.09.b,2004,Unprovoked,usa,Spearfishing,Left shoulder bitten,Oct,N,M,Tiger,34
595,2004.10.09.a,2004,Unprovoked,south africa,Surfing,Puncture wounds on right foot,Oct,N,M,Unspecified,34
596,2004.10.06,2004,Unprovoked,reunion,Body boarding,"Leg severely bitten, surgically amputated",Oct,N,M,Tiger,15
597,2004.09.20,2004,Unprovoked,usa,Surfing,Leg bitten,Sep,N,M,White,26
598,2004.09.04,2004,Unprovoked,usa,Jumping,Left knee & leg bitten,Sep,N,F,Unspecified,17
599,2004.08.21,2004,Unprovoked,brazil,Bathing,Calf bitten & both hands injured,Aug,N,M,Tiger,24
600,2004.08.15,2004,Unprovoked,usa,Diving,FATAL,Aug,Y,M,White,50
601,2004.08.06,2004,Unprovoked,usa,Swimming,"Back, buttocks, left hand & left side of face bitten",Aug,N,M,Unspecified,47
602,2004.07.27.b,2004,Unprovoked,usa,Swimming,Right forearm & wrist lacerated,Jul,N,F,Unspecified,13
603,2004.07.27.a,2004,Unprovoked,usa,Swimming,Right foot bitten,Jul,N,F,Unspecified,19
604,2004.07.25,2004,Unprovoked,usa,Wading / fishing & carrying a bag of fish,Right forearm nearly severed and bites above & below the right knee,Jul,N,M,Bull,11
605,2004.07.10,2004,Unprovoked,australia,Surfing,"FATAL, abdomen, pelvis & leg bitten      ",Jul,Y,M,Unspecified,30
606,2004.07.02.a,2004,Unprovoked,usa,Wading,Right foot lacerated,Jul,N,M,Unspecified,7
607,2004.06.26.b,2004,Unprovoked,usa,Surfing,"No injury, shark struck his board",Jun,N,M,White,45
608,2004.06.10.b,2004,Unprovoked,australia,Body boarding,Ankle & foot lacerated,Jun,N,M,Unspecified,17
609,2004.06.10.a,2004,Unprovoked,usa,Swimming,Right wrist  & left arm lacerated,Jun,N,M,Unspecified,8
610,2004.06.02,2004,Unprovoked,south africa,"Swimming, poaching perlemoen","FATAL, leg severed ",Jun,Y,M,White,21
611,2004.05.29,2004,Unprovoked,usa,Wading,Puncture wounds on shin,May,N,M,Unspecified,16
612,2004.05.23.b,2004,Unprovoked,brazil,Swimming,"Left hand, foot severed &  left calf & arm bitten",May,N,M,Bull,17
613,2004.05.28,2004,Unprovoked,usa,Surfing,No injury,May,N,M,Unspecified,44
614,2004.05.18,2004,Provoked,bahamas,Free diving & spearfishing,Left forearm bitten PROVOKED INCIDENT,May,N,M,Unspecified,63
615,2004.05.04,2004,Unprovoked,usa,Tandem surfing,"No injury, board bitten",May,N,M,Unspecified,28
616,2004.04.07,2004,Unprovoked,usa,Surfing,FATAL Severe wound to right thigh & calf,Apr,Y,M,Tiger,57
617,2004.04.05,2004,Unprovoked,south africa,Surfing,"Left leg lacerated, right leg severed above the knee ",Apr,N,M,White,16
618,2004.03.31.a,2004,Unprovoked,usa,Surfing,15 puncture wounds on foot,Mar,N,M,Bull,20
619,2004.03.29,2004,Unprovoked,brazil,Body boarding,"Lower left leg bitten, surgically amputated",Mar,N,M,Bull,22
620,2004.03.27.b,2004,Unprovoked,reunion,Surfing,Right thigh bitten,Mar,N,M,Unspecified,20
621,2004.03.16,2004,Unprovoked,usa,Surfing,"No injury, board bitten",Mar,N,M,Tiger,51
622,2004.02.26,2004,Unprovoked,new zealand,Surfing,Thigh lacerated,Feb,N,M,Unspecified,15
623,2004.02.16,2004,Invalid,australia,Free diving & spearfishing,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",Feb,,M,Unspecified,31
624,2004.01.25,2004,Unprovoked,australia,Scuba diving,Left leg bitten,Jan,N,M,White,46
625,2004.01.21.a,2004,Unprovoked,venezuela,Spearfishing,Right leg bitten,Jan,N,M,Bull,40
626,2003.11.27,2003,Unprovoked,south africa,Spearfishing,"Presumed FATAL, severed hand recovered",Nov,Y,M,Tiger,21
627,2003.11.22,2003,Unprovoked,usa,Surfing,Severe abrasion to left lateral calf,Nov,N,F,Unspecified,35
628,2003.10.31.c,2003,Unprovoked,usa,Surfing,Left foot (sole) bitten,Oct,N,M,Unspecified,18
629,2003.10.31.b,2003,Unprovoked,australia,Surfing,Left ankle & foot lacerated,Oct,N,M,Grey,22
630,2003.10.31.a,2003,Unprovoked,usa,Surfing,Left arm severed below shoulder,Oct,N,F,Tiger,13
631,2003.10.24,2003,Invalid,usa,Snorkeling,Left forearm lacerated,Oct,,M,Unspecified,56
632,2003.10.14,2003,Unprovoked,usa,Surfing,Foot bitten,Oct,N,M,Unspecified,19
633,2003.10.05.a,2003,Unprovoked,usa,Wading near a fishing net,"Left thigh abraded, right knee and right index finger injured",Oct,N,F,Grey,41
634,2003.09.14.c,2003,Unprovoked,usa,Surfing,Left foot: lacerations on heel and sole,Sep,N,M,Unspecified,30
635,2003.09.14.a,2003,Invalid,usa,Swimming,Puncture wounds on inner thigh,Sep,,F,Unspecified,8
636,2003.09.13.b,2003,Unprovoked,usa,Body boarding,Left calf avulsion,Sep,N,M,Unspecified,18
637,2003.09.13.a,2003,Unprovoked,usa,"Standing, stepped on shark",Ankle lacerated,Sep,N,M,Unspecified,15
638,2003.09.12,2003,Unprovoked,south africa,Body boarding,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Sep,Y,M,White,19
639,2003.08.19,2003,Unprovoked,usa,"Swimming, wearing black wetsuit & swim fins","FATAL          Hip & upper thigh bitten, femoral artery severed ",Aug,Y,F,White,50
640,2003.08.12,2003,Invalid,usa,Swimming,Left ankle lacerated,Aug,,M,Unspecified,31
641,2003.08.08,2003,Unprovoked,south africa,Sitting on surfboard,"No injury, wetsuit torn & board bitten",Aug,N,M,White,16
642,2003.07.09,2003,Unprovoked,bahamas,Spearfishing,Right thigh bitten,Jul,N,M,Unspecified,58
643,2003.07.05.b,2003,Provoked,usa,"Walking, carrying surfboard & stepped on shark",3 puncture wounds on right lateral ankle PROVOKED INCIDENT,Jul,N,M,Unspecified,10
644,2003.07.04,2003,Unprovoked,bahamas,Spearfishing,Left calf bitten,Jul,N,M,Bull,39
645,2003.06.30,2003,Unprovoked,usa,Surfing,Right foot & toes lacerated,Jun,N,M,Unspecified,17
646,2003.06.26,2003,Unprovoked,usa,Surfing,Ankle lacerated,Jun,N,M,Unspecified,15
647,2003.06.24.b,2003,Unprovoked,usa,Standing,2 lacerations to the thigh,Jun,N,F,Unspecified,12
648,2003.06.24.a,2003,Unprovoked,usa,Swimming with pod of dolphins,Right foot bitten,Jun,N,M,Unspecified,60
649,2003.06.19,2003,Unprovoked,usa,Surfing ,Hand bitten ,Jun,N,M,Unspecified,33
650,2003.05.14,2003,Unprovoked,usa,Wading,Left foot bitten,May,N,M,Unspecified,22
651,2003.05.10,2003,Unprovoked,usa,Swimming,Right calf & heel bitten,May,N,M,Grey,20
652,2003.05.07,2003,Provoked,usa,Surfing,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,May,N,M,Unspecified,34
653,2003.04.23.b,2003,Unprovoked,brazil,Surfing,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",Apr,N,M,Bull,17
654,2003.04.21.b,2003,Unprovoked,usa,Surfing,Right leg bitten,Apr,N,M,Unspecified,36
655,2003.04.21.a,2003,Unprovoked,usa,Surfing,Survived,Apr,N,M,Unspecified,17
656,2003.04.20.c,2003,Unprovoked,usa,Surfing,Left foot bitten,Apr,N,M,Unspecified,30
657,2003.04.20.b,2003,Unprovoked,usa,Surfing,Small lacerations to foot,Apr,N,M,Unspecified,23
658,2003.04.20.a,2003,Unprovoked,usa,Surfing,Left ankle bitten or right foot,Apr,N,M,Unspecified,18
659,2003.04.19,2003,Unprovoked,usa,Jumping,Left foot bitten,Apr,N,M,Unspecified,11
660,2003.04.18,2003,Unprovoked,usa,Surfing,2 lacerations on left thigh,Apr,N,M,Unspecified,12
661,2003.04.15,2003,Unprovoked,usa,Swimming (using a float),Left calf lacerated,Apr,N,M,Unspecified,20
662,2003.04.11,2003,Unprovoked,venezuela,Surfing,"Right foot bitten, left leg severed",Apr,N,M,Unspecified,28
663,2003.04.04,2003,Unprovoked,usa,Surfing,Left hand and wrist bitten,Apr,N,M,Unspecified,50
664,2003.02.27,2003,Unprovoked,new zealand,Scuba diving,Arm lacerated (shark made 3 strikes),Feb,N,M,White,44
665,2003.02.15.b,2003,Unprovoked,australia,Wading,Ankle lacerated,Feb,N,M,Unspecified,37
666,2003.02.15.a,2003,Unprovoked,usa,Swimming,Left hand bitten,Feb,N,M,Unspecified,54
667,2003.02.11,2003,Unprovoked,australia,Swimming,"Puncture wounds on heel, legs and buttocks",Feb,N,M,Grey,24
668,2003.02.08,2003,Unprovoked,australia,Swimming,FATAL,Feb,Y,M,Bull,84
669,2003.01.17,2003,Invalid,south africa,Unknown,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Jan,,M,Unspecified,14
670,2002.12.24,2002,Unprovoked,south africa,Snorkeling,Forearms lacerated,Dec,N,M,White,25
671,2002.12.16,2002,Unprovoked,australia,Swimming,FATAL,Dec,Y,M,Bull,23
672,2002.11.28.a,2002,Unprovoked,usa,Body boarding,Both legs severely lacerated,Nov,N,M,White,48
673,2002.11.17,2002,Unprovoked,usa,Swimming,Right shoulder forarm & wrist bitten,Nov,N,F,Grey,34
674,2002.11.14,2002,Unprovoked,turks & caicos,Snorkeling,"Right upper am, shoulder & back severely  bitten",Nov,N,F,Unspecified,41
675,2002.11.11,2002,Unprovoked,usa,Surfing,1.5-inch laceration,Nov,N,M,Unspecified,21
676,2002.11.02,2002,Unprovoked,usa,Boogie boarding,Puncture wounds on right foot,Nov,N,M,Unspecified,16
677,2002.10.30,2002,Unprovoked,usa,Swimming,Left foot bitten ,Oct,N,F,Unspecified,60
678,2002.10.14,2002,Unprovoked,brazil,Swimming,"FATAL, body not recovered",Oct,Y,M,Tiger,36
679,2002.10.05.b,2002,Unprovoked,usa,Surfing,Abrasions on right hand & deep laceration on middle finger,Oct,N,M,Unspecified,14
680,2002.10.05.a,2002,Unprovoked,usa,Surfing,Heel & back of right knee lacerated,Oct,N,M,Unspecified,35
681,2002.10.03,2002,Unprovoked,usa,Surfing,Left hand lacerated and abraded,Oct,N,M,Unspecified,18
682,2002.09.30,2002,Unprovoked,usa,Surfing,Right hand severely lacerated,Sep,N,M,Unspecified,47
683,2002.09.27.c,2002,Unprovoked,usa,Fishing from Surfboard,"No injury, surfboard bitten ",Sep,N,M,Unspecified,55
684,2002.09.27.b,2002,Provoked,usa,Fishing,Left thumb lacerated PROVOKED INCIDENT,Sep,N,M,Unspecified,
685,2002.09.27.a,2002,Provoked,tonga,Swimming,Thigh lacerated  PROVOKED INCIDENT,Sep,N,M,Tiger,
686,2002.09.21.b,2002,Unprovoked,usa,Boogie boarding or Surfing, Ankle lacerated,Sep,N,M,Unspecified,24
687,2002.09.21.a,2002,Unprovoked,usa,Surfing,No injury,Sep,N,M,Unspecified,35
688,2002.09.16.b,2002,Unprovoked,brazil,Swimming,"Left thigh bitten, leg surgically amputated",Sep,N,M,Tiger,19
689,2002.09.13,2002,Unprovoked,south africa,Surf skiing,No injury,Sep,N,M,White,47
690,2002.09.09,2002,Unprovoked,usa,Boogie boarding,Bitten above & below right knee,Sep,N,M,Unspecified,20
691,2002.09.05,2002,Provoked,usa,"Wading, when he stepped on the shark",2 small puncture wounds on left foot PROVOKED INCIDENT,Sep,N,M,Unspecified,36
692,2002.08.28,2002,Unprovoked,usa,Surfing,Left foot lacerated ,Aug,N,M,Tiger,16
693,2002.08.14,2002,Unprovoked,usa,Surfing,Big toe bitten,Aug,N,M,Unspecified,27
694,2002.08.11,2002,Unprovoked,usa,Surfing,Lacerations on heel & dorsum of right foot,Aug,N,M,Unspecified,15
695,2002.08.05,2002,Unprovoked,usa,Standing,Leg lacerated,Aug,N,M,Unspecified,14
696,2002.07.26,2002,Unprovoked,usa,Surfing,Heel bitten,Jul,N,M,Unspecified,13
697,2002.07.20,2002,Unprovoked,usa,Swimming,Calf bitten,Jul,N,F,Bull,15
698,2002.07.09.b,2002,Provoked,usa,Shark Fishing,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Jul,Y,M,Unspecified,41
699,2002.07.09.a,2002,Unprovoked,brazil,Surfing,Right hand severed,Jul,N,M,Tiger,22
700,2002.07.04,2002,Unprovoked,usa,Standing,"Calf, foot & hand bitten",Jul,N,F,Bull,9
701,2002.06.11.a,2002,Unprovoked,usa,Surfing,Right hand lacerated,Jun,N,M,Unspecified,28
702,2002.06.09.b,2002,Unprovoked,usa,Surfing,6-inch gash on right foot,Jun,N,M,Unspecified,50
703,2002.06.03,2002,Unprovoked,south africa,Snorkeling (filming the sardine run),Upper arm bitten,Jun,N,M,Unspecified,50
704,2002.05.31.b,2002,Unprovoked,usa,Surfing,Lacerated leg & back,May,N,M,White,24
705,2002.05.31.a,2002,Unprovoked,usa,Floating on a raft,Lacerated foot,May,N,M,Unspecified,16
706,2002.05.22.b,2002,Provoked,usa,"Fishing, removing the shark from his line",Leg bitten by hooked shark PROVOKED INCIDENT,May,N,M,Unspecified,55
707,2002.04.30,2002,Unprovoked,australia,Scallop diving (using surface-supplied air & a POD) ,"FATAL, torso & leg bitten  ",Apr,Y,M,White,23
708,2002.04.20,2002,Unprovoked,usa,"Surfing, but standing in water alongside board",Left foot bitten,Apr,N,M,Unspecified,34
709,2002.04.09,2002,Unprovoked,bahamas,Standing,Calf bitten,Apr,N,M,Bull,43
710,2002.04.02,2002,Unprovoked,usa,Wading,Two half-inch lacerations on right heel and one near small toe,Apr,N,M,Unspecified,41
711,2002.04.01,2002,Unprovoked,usa,Swimming / Wading,Upper left arm bitten,Apr,N,M,Unspecified,29
712,2002.03.25.b,2002,Unprovoked,usa,Body-boarding,Left leg severed below knee,Mar,N,M,Tiger,17
713,2002.03.25.a,2002,Unprovoked,usa,Wading,Foot bitten,Mar,N,F,Unspecified,11
714,2002.03.19,2002,Unprovoked,usa,Swimming /  boogie boarding,Punctures on left foot and foot ,Mar,N,M,Unspecified,20
715,2002.03.15.b,2002,Unprovoked,usa,Snorkeling,Arm bitten,Mar,N,M,Unspecified,39
716,2002.03.15.a,2002,Unprovoked,usa,Surfing,Several  puncture wounds on lower right leg,Mar,N,M,Unspecified,31
717,2002.02.16,2002,Unprovoked,australia,Surfing,Heel / foot bitten,Feb,N,M,Unspecified,30
718,2002.02.07,2002,Boating,australia,Kayaking,Stern of kayak bitten/chest bruised ,Feb,N,M,Unspecified,35
719,2002.01.30.b,2002,Unprovoked,australia,Surfing,Bruises & minor cuts,Jan,N,M,Tiger,20
720,2002.01.04,2002,Unprovoked,south africa,Fishing,Leg bitten & surgically amputated,Jan,N,M,Unspecified,16
721,2002.01.01.b,2002,Unprovoked,south africa,Surf skiing,Foot & calf bitten,Jan,N,M,Unspecified,26
722,2002.01.01.a,2002,Unprovoked,usa,Snorkeling,Lacerations to buttocks & thigh,Jan,N,M,Tiger,35
723,2001.10.02,2001,Unprovoked,australia,Snorkeling,Lacerations to right forearm & shoulder injured,Oct,N,F,Unspecified,20
724,2001.09.30.b,2001,Unprovoked,mexico,Body surfing,Hand injured,Sep,N,M,Tiger,26
725,2001.09.24,2001,Provoked,usa,"Surfing, fell off surfboard & stepped on the shark.",PROVOKED INCIDENT Several small lacerations on left foot ,Sep,N,M,Unspecified,21
726,2001.09.16,2001,Invalid,usa,Wreck / Technical diving,FATAL or drowning & scavenging,Sep,Y,M,Unspecified,42
727,2001.09.15.b,2001,Unprovoked,usa,Boogie boarding,"2 lacerations on lower back, punctures on buttock",Sep,N,M,Unspecified,6
728,2001.09.03.b,2001,Unprovoked,usa,Swimming ,FATAL,Sep,Y,M,White,28
729,2001.09.03.a,2001,Unprovoked,usa,Swimming,Left buttock & foot  severed,Sep,N,F,White,23
730,2001.09.02,2001,Unprovoked,usa,Wading,Right calf lacerated,Sep,N,M,Unspecified,20
731,2001.09.01,2001,Unprovoked,usa,Swimming ,"FATAL, thigh bitten ",Sep,Y,M,Bull,10
732,2001.08.31,2001,Unprovoked,bahamas,Spearfishing,Torso lacerated,Aug,N,M,Bull,44
733,2001.08.22,2001,Unprovoked,usa,Surfing,Foot lacerated,Aug,N,M,Unspecified,17
734,2001.08.18.c,2001,Unprovoked,usa,Surfing,Cuts on right foot,Aug,N,M,Unspecified,20
735,2001.08.18.b,2001,Unprovoked,usa,Surfing,Back of left hand gashed,Aug,N,M,Unspecified,19
736,2001.08.18.a,2001,Unprovoked,usa,Surfing,Left ankle bitten,Aug,N,M,Unspecified,19
737,2001.08.16,2001,Unprovoked,bahamas,Spearfishing,Calf bitten,Aug,N,M,Bull,43
738,2001.07.15.a,2001,Unprovoked,usa,Boogie boarding,Foot lacerated,Jul,N,M,Unspecified,18
739,2001.07.06.a,2001,Unprovoked,usa,Swimming,"Arm severed, surgically reattached",Jul,N,M,Bull,8
740,2001.06.10,2001,Provoked,usa,Spearfishing,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",Jun,N,M,White,52
741,2001.06.03,2001,Unprovoked,usa,Wading,3 puncture wounds on each side of her left  hand,Jun,N,F,Unspecified,29
742,2001.05.03,2001,Unprovoked,usa,Surfing,Foot lacerated ,May,N,M,Unspecified,45
743,2001.04.13.a,2001,Unprovoked,usa,Surfing,Right foot & ankle lacerated,Apr,N,M,Unspecified,12
744,2001.04.12.c,2001,Unprovoked,usa,Surfing,Small cuts on big & pinky toes of left foot,Apr,N,M,Unspecified,21
745,2001.04.12.b,2001,Unprovoked,usa,Body boarding,Foot & ankle lacerated,Apr,N,M,Unspecified,12
746,2001.04.12.a,2001,Unprovoked,usa,Surfing,Foot lacerated,Apr,N,M,Unspecified,22
747,2001.04.11.d,2001,Unprovoked,usa,Surfing,Minor cuts on right heel & foot,Apr,N,M,Unspecified,19
748,2001.04.08.b,2001,Unprovoked,south africa,Surfing,"Thigh, hip & buttock bitten",Apr,N,M,White,46
749,2001.04.05,2001,Unprovoked,usa,Standing alongside surfboard,Minor lacerations to dorsum of left foot,Apr,N,M,Unspecified,26
750,2001.04.02.a,2001,Unprovoked,australia,Surfing,Calf bitten,Apr,N,M,Unspecified,40
751,2001.02.04,2001,Unprovoked,australia,Surfing,Leg bitten,Feb,N,M,Unspecified,40
752,2000.12.12,2000,Unprovoked,fiji,Swimming back from anchored sailboat,"FATAL, leg severed ",Dec,Y,M,Unspecified,47
753,2000.12.03,2000,Unprovoked,australia,Spearfishing,Left elbow and forearm bitten,Dec,N,M,Unspecified,38
754,2000.11.18,2000,Unprovoked,usa,Swimming,Right calf lacerated,Nov,N,M,Unspecified,73
755,2000.11.06.b,2000,Unprovoked,australia,Swimming,Leg & feet lacerated,Nov,N,M,White,52
756,2000.11.06.a,2000,Unprovoked,australia,Swimming,"FATAL, torso bitten, leg severed ",Nov,Y,M,White,49
757,2000.11.04,2000,Unprovoked,usa,Surfing,Both thighs bitten,Nov,N,M,White,27
758,2000.10.18,2000,Unprovoked,usa,Swimming / snorkeling,Right side of back / torso lacerated,Oct,N,F,Tiger,56
759,2000.10.09,2000,Unprovoked,usa,Surfing,Foot lacerated,Oct,N,M,Unspecified,17
760,2000.10.06.b,2000,Unprovoked,usa,Surfing,Fingers lacerated,Oct,N,M,Unspecified,23
761,2000.09.25,2000,Unprovoked,australia,Surfing,FATAL,Sep,Y,M,White,17
762,2000.09.24,2000,Unprovoked,australia,Surfing,FATAL,Sep,Y,M,White,25
763,2000.09.16.b,2000,Unprovoked,okinawa,Surfing, FATAL,Sep,Y,M,White,31
764,2000.09.11,2000,Unprovoked,usa,Swimming / Body surfing,Finger lacerated,Sep,N,M,Unspecified,25
765,2000.09.10.a,2000,Unprovoked,south africa,Free diving,Swim fin bitten,Sep,N,M,White,48
766,2000.09.08.b,2000,Unprovoked,usa,Wading,Left foot lacerated ,Sep,N,M,Unspecified,40
767,2000.09.08.a,2000,Unprovoked,reunion,Surfing,Left arm bitten,Sep,N,M,Tiger,27
768,2000.08.31,2000,Unprovoked,usa,Swimming,Punctures & lacerations on right foot,Aug,N,M,Unspecified,47
769,2000.08.30,2000,Unprovoked,usa,Jumped into the water,FATAL,Aug,Y,M,Bull,69
770,2000.08.15,2000,Unprovoked,usa,"Windsurfing, but sitting on his board",Left calf lacerated,Aug,N,M,Tiger,53
771,2000.08.13,2000,Unprovoked,usa,Surfing / Wading,Minor lacerations to the dorsum of the right foot,Aug,N,M,Unspecified,27
772,2000.08.12,2000,Unprovoked,usa,Standing,Severely bitten on lower leg ,Aug,N,F,Unspecified,44
773,2000.07.06,2000,Unprovoked,usa,Playing,Calf lacerated,Jul,N,F,Tiger,12
774,2000.07.04.a,2000,Unprovoked,usa,"Spearfishing, holding mesh bag with speared fish",Lower right calf lacerated,Jul,N,F,Unspecified,55
775,2000.07.02.b,2000,Unprovoked,usa,Wading,Left calf & hand lacerated,Jul,N,F,Unspecified,13
776,2000.07.02.a,2000,Unprovoked,usa,Standing,Left thigh lacerated,Jul,N,F,Unspecified,19
777,2000.06.10,2000,Unprovoked,usa,Surfing,Foot lacerated,Jun,N,M,Unspecified,17
778,2000.06.09.b,2000,Unprovoked,usa,Swimming,Puncture wounds on right hip and arm,Jun,N,M,Bull,55
779,2000.06.09.a,2000,Unprovoked,usa,Swimming ,Right forearm severed surgically amputated above elbow,Jun,N,M,Bull,44
780,2000.03.30,2000,Unprovoked,australia,Swimming,Left calf bitten,Mar,N,M,Unspecified,26
781,2000.03.26,2000,Unprovoked,usa,Boogie boarding,Right knee lacerated,Mar,N,F,Unspecified,14
782,2000.03.24,2000,Unprovoked,usa,Surfing,Left hand bitten,Mar,N,M,Unspecified,37
783,2000.03.15,2000,Unprovoked,new caledonia,Spearfishing,FATAL,Mar,Y,M,Tiger,35
784,2000.03.00,2000,Unprovoked,usa,Spearfishing,"No injury to diver, speargun damaged",Mar,N,M,Unspecified,39
785,1999.12.06,1999,Invalid,brazil,Spearfishing,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",Dec,N,M,Unspecified,39
786,1999.11.23,1999,Unprovoked,usa,Swimming,"Buttock bitten, hands lacerated",Nov,N,F,Tiger,51
787,1999.11.06,1999,Unprovoked,brazil,"Spearfishing, but swimming at surface",Upper right thigh bitten,Nov,N,M,Unspecified,39
788,1999.10.01,1999,Unprovoked,usa,"Surfing, lying on surfboard",Right arm bitten,Oct,N,M,Tiger,16
789,1999.09.18,1999,Unprovoked,usa,Kayaking,"No injury, but kayak scraped & dented",Sep,N,M,White,37
